Timestamp,Opening Price,High Price,Low Price,Closing Price,No of Shares
1679054400,413.17,413.24,411.32,412.05,6557292356
1679076000,412.05,412.29,409.03,409.79,6554607940
1679097600,409.89,410.85,408.47,408.71,6548874255
1679119200,408.75,410.78,407.74,410.36,6549260878
1679140800,410.36,410.85,407.23,408.87,6551225848
1679162400,408.84,410.41,408.18,409.45,6550855162
1679184000,409.42,410.20,407.62,407.62,6549700453
1679205600,407.65,408.00,403.84,403.92,6552586135
1679227200,403.92,404.60,401.80,401.80,6545966740
1679248800,402.05,402.05,397.87,397.87,6597981523
1679270400,397.94,398.36,395.35,395.77,6964371785
1679292000,395.80,398.83,395.80,398.13,13248101810
1679313600,398.06,401.34,397.12,399.98,13801035206
1679335200,399.98,400.95,396.88,396.91,11166897921
1679356800,397.23,399.35,396.80,398.72,11611847051
1679378400,399.03,401.20,398.79,400.52,11010046508
1679400000,400.45,400.96,399.37,400.67,11117894468
1679421600,400.67,401.03,397.47,398.81,11331910469
1679443200,398.84,399.75,397.03,398.67,10769189268
1679464800,398.67,399.65,397.66,398.18,10931959255
1679486400,398.18,399.83,397.65,399.47,11151637798
1679508000,399.51,401.23,399.35,400.82,10880478172
1679529600,400.70,400.99,399.24,399.77,10373068831
1679551200,399.84,401.53,399.54,400.91,9932410255
1679572800,400.99,402.96,400.36,401.22,8286730129
1679594400,401.22,402.06,399.45,399.90,8244563540
1679616000,399.90,400.97,399.29,399.90,8257181570
1679637600,399.98,401.77,399.72,400.84,8663071970
1679659200,400.68,400.84,398.94,399.53,8448879729
1679680800,399.56,399.56,397.80,398.39,8443431075
1679702400,398.39,398.54,397.12,397.86,8357729966
1679724000,397.79,398.23,397.44,397.92,11347909954
1679745600,397.85,398.55,396.34,396.36,11470925939
1679767200,396.41,398.07,396.25,397.18,13286372671
1679788800,397.15,397.40,395.43,395.88,17130916719
1679810400,395.91,397.83,395.83,396.82,18843030781
1679832000,396.75,396.80,394.72,395.30,19753607392
1679853600,395.28,395.65,394.00,394.64,21992129446
1679875200,394.64,395.94,394.37,395.94,23649415619
1679896800,395.91,396.50,395.57,396.27,24543428578
1679918400,396.22,397.61,395.66,397.51,21768863134
1679940000,397.51,398.34,396.96,398.02,21097179499
1679961600,398.00,400.26,397.73,399.82,11374920098
1679983200,399.74,401.40,399.25,401.37,8590508365
1680004800,401.44,401.87,400.04,401.24,7516318344
1680026400,401.19,402.77,400.96,402.55,7231975555
1680048000,402.55,402.93,401.35,402.55,7077689352
1680069600,402.55,402.84,401.66,402.34,7051047381
1680091200,402.34,403.56,402.11,403.08,7052240495
1680112800,403.16,404.90,403.16,403.86,6786588163
1680134400,403.94,404.76,402.70,403.41,6753370519
1680156000,403.49,404.15,400.86,400.96,6717363590
1680177600,400.96,402.05,400.88,401.15,6678095151
1680199200,401.23,404.42,401.23,404.34,6669782466
1680220800,404.34,405.02,403.87,404.48,6664726611
1680242400,404.51,406.58,403.96,406.23,6661795302
1680264000,406.13,406.13,404.45,404.60,6639625954
1680285600,404.63,405.71,404.40,405.51,6642705627
1680307200,405.51,405.94,403.14,403.30,6634097382
1680328800,403.43,405.83,402.90,405.42,6632571911
1680350400,405.49,407.51,405.26,407.21,6633608178
1680372000,407.26,408.73,405.99,406.37,6631449834
1680393600,406.40,407.06,406.33,406.92,6586316933
1680415200,406.94,407.45,405.58,406.55,6584191140
1680436800,406.62,406.70,404.73,404.97,6586206351
1680458400,405.04,406.62,404.89,405.79,6583719860
1680480000,405.77,407.45,405.40,407.18,6583709325
1680501600,407.15,408.15,406.11,406.50,6555195498
1680523200,406.48,406.87,405.84,406.72,6545328171
1680544800,406.72,407.05,405.82,406.97,6546163416
1680566400,406.97,408.33,406.72,407.15,6557667977
1680588000,407.15,408.17,406.20,408.08,6556187101
1680609600,408.08,409.27,407.62,407.85,6556969881
1680631200,407.80,407.95,406.61,407.48,6559432255
1680652800,407.48,408.39,407.37,408.24,6554945676
1680674400,408.27,409.82,407.61,409.77,6553939203
1680696000,409.77,410.51,408.89,410.11,6557135392
1680717600,409.94,411.64,409.75,411.27,6560864483
1680739200,411.29,411.55,410.41,411.06,6556530051
1680760800,411.28,411.53,409.72,409.97,6556580868
1680782400,409.97,410.75,409.71,410.67,6543560141
1680804000,410.67,410.72,409.85,410.38,6540160282
1680825600,410.41,411.62,410.29,411.46,6531681560
1680847200,411.43,411.67,409.94,410.55,6586459766
1680868800,410.55,412.17,410.35,411.89,6592356430
1680890400,411.94,412.56,410.52,410.70,6587239169
1680912000,410.70,411.77,410.46,411.55,6576279202
1680933600,411.50,411.98,410.98,411.16,6576719257
1680955200,411.21,411.53,410.35,410.65,6575814268
1680976800,410.69,411.79,410.47,411.50,6520602999
1680998400,411.39,414.47,411.28,414.25,6551180834
1681020000,414.28,415.09,414.18,415.09,6526470862
1681041600,415.09,415.92,414.76,415.23,6527501894
1681063200,415.23,416.62,415.08,415.37,6531837657
1681084800,415.25,416.06,414.55,415.29,6530860584
1681106400,415.26,415.97,414.97,415.85,6531877240
1681128000,415.88,415.96,413.71,413.71,6531623230
1681149600,413.69,414.39,412.10,414.29,6560527607
1681171200,414.29,415.12,413.76,414.68,6533116278
1681192800,414.70,415.62,413.10,414.46,6532202054
1681214400,414.57,415.07,412.72,413.60,6533419831
1681236000,413.60,414.41,411.71,411.71,6552199815
1681257600,411.82,414.79,410.15,414.61,6557954250
1681279200,414.55,417.51,414.38,415.80,6548205917
1681300800,415.75,417.40,413.26,416.26,6550374903
1681322400,416.39,416.84,408.03,408.33,6555475269
1681344000,408.03,410.57,407.73,407.92,6578770672
1681365600,408.02,413.62,407.56,413.50,6576098604
1681387200,413.47,415.27,412.73,413.69,6587440273
1681408800,413.64,414.44,411.20,413.48,6578717648
1681430400,413.45,414.56,411.26,411.45,6579745934
1681452000,411.53,413.84,410.37,412.52,6578638532
1681473600,412.47,413.28,407.17,408.88,6694002135
1681495200,409.08,412.62,408.79,412.02,6586727112
1681516800,412.02,414.86,412.02,414.25,6592653478
1681538400,414.20,414.33,411.13,413.56,6592128345
1681560000,413.76,416.36,413.48,413.85,6588700695
1681581600,413.85,416.78,412.55,416.10,6590732449
